C,NEMP.WORLD,GSH_BENCHMARK_PRICE_FIRM_WEB,AEMO,PUBLIC,2020/03/01,19:30:07,0000000319759750,GSH,0000000319759749
I,GSH,BENCHMARK_PRICE,1,GAS_DATE,PRODUCT_LOCATION,PRODUCT_TYPE,BENCHMARK_PRICE,IS_FIRM,LASTCHANGED
D,GSH,BENCHMARK_PRICE,1,"2020/03/02 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/03/01 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2020/03/02 00:00:00",SEQ,"Gas - NG DA Days",4,1,"2020/03/01 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2020/03/01 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/02/29 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/03/01 00:00:00",SEQ,"Gas - NG DA Days",4,1,"2020/02/29 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/29 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/02/28 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/29 00:00:00",SEQ,"Gas - NG DA Days",4,1,"2020/02/28 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/28 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/02/27 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/28 00:00:00",SEQ,"Gas - NG DA Days",4,1,"2020/02/27 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/27 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/02/26 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/27 00:00:00",SEQ,"Gas - NG DA Days",4.20,1,"2020/02/26 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/26 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/02/25 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2020/02/26 00:00:00",SEQ,"Gas - NG DA Days",4.22,1,"2020/02/25 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2020/02/25 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/02/24 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/25 00:00:00",SEQ,"Gas - NG DA Days",4.22,1,"2020/02/24 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/24 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/02/23 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/24 00:00:00",SEQ,"Gas - NG DA Days",4.22,1,"2020/02/23 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/23 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/02/22 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2020/02/23 00:00:00",SEQ,"Gas - NG DA Days",4.35,1,"2020/02/22 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2020/02/22 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/02/21 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/22 00:00:00",SEQ,"Gas - NG DA Days",4.35,1,"2020/02/21 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/21 00:00:00",WAL,"Gas - NG DA Days",4.95,1,"2020/02/20 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/21 00:00:00",SEQ,"Gas - NG DA Days",4.45,1,"2020/02/20 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/20 00:00:00",WAL,"Gas - NG DA Days",5.75,1,"2020/02/19 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/02/20 00:00:00",SEQ,"Gas - NG DA Days",4.60,1,"2020/02/19 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/02/19 00:00:00",WAL,"Gas - NG DA Days",5.75,1,"2020/02/18 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/02/19 00:00:00",SEQ,"Gas - NG DA Days",4.60,1,"2020/02/18 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/02/18 00:00:00",WAL,"Gas - NG DA Days",5.75,1,"2020/02/17 19:30:05"
