GasDate,FacilityName,FacilityId,FacilityType,Demand,Supply,TransferIn,TransferOut,HeldInStorage,State,LocationName,LocationId,Completeness,LastUpdated
01/02/2020,Eastern Gas Pipeline,520047,PIPE,80.933,0,0,0,,NSW,Sydney,520008,,2020-02-10T13:05:00+11:00
01/02/2020,Eastern Gas Pipeline,520047,PIPE,3.642,0,0,0,,NSW,Canberra,520009,,2020-02-10T13:05:00+11:00
01/02/2020,Eastern Gas Pipeline,520047,PIPE,0,210.008,0,27.084,,VIC,Longford Hub,530015,,2020-02-10T13:05:00+11:00
01/02/2020,Eastern Gas Pipeline,520047,PIPE,83.819,0,0,0,,NSW,Regional - NSW,590011,,2020-02-10T13:05:00+11:00
01/02/2020,Eastern Gas Pipeline,520047,PIPE,6.472,0,0,0,,VIC,Regional - VIC,590012,,2020-02-10T13:05:00+11:00
02/02/2020,Eastern Gas Pipeline,520047,PIPE,81.364,0,0,0,,NSW,Sydney,520008,,2020-02-10T12:02:55+11:00
02/02/2020,Eastern Gas Pipeline,520047,PIPE,3.564,0,0,0,,NSW,Canberra,520009,,2020-02-10T12:02:55+11:00
02/02/2020,Eastern Gas Pipeline,520047,PIPE,0,217.28,0,30.037,,VIC,Longford Hub,530015,,2020-02-10T12:02:55+11:00
02/02/2020,Eastern Gas Pipeline,520047,PIPE,54.32,0,0,28.028,,NSW,Regional - NSW,590011,,2020-02-10T12:02:55+11:00
02/02/2020,Eastern Gas Pipeline,520047,PIPE,1.552,0,0,0,,VIC,Regional - VIC,590012,,2020-02-10T12:02:55+11:00
03/02/2020,Eastern Gas Pipeline,520047,PIPE,79.018,0,0,0,,NSW,Sydney,520008,,2020-02-10T12:02:55+11:00
03/02/2020,Eastern Gas Pipeline,520047,PIPE,4.158,0,0,0,,NSW,Canberra,520009,,2020-02-10T12:02:55+11:00
03/02/2020,Eastern Gas Pipeline,520047,PIPE,0,166.792,0,24.822,,VIC,Longford Hub,530015,,2020-02-10T12:02:55+11:00
03/02/2020,Eastern Gas Pipeline,520047,PIPE,27.921,0,0,0,,NSW,Regional - NSW,590011,,2020-02-10T12:02:55+11:00
